latitude,longitude,speed,date
50.1042506,8.7658483,21.0,2022-04-01T08:00:00
50.1040218,8.7659283,21.0,2022-04-01T08:00:04.469657
50.1039622,8.7659459,21.0,2022-04-01T08:00:05.625943
50.1035501,8.7660845,21.0,2022-04-01T08:00:13.662172
50.1031452,8.7662145,21.0,2022-04-01T08:00:21.542401
50.1031383,8.7662167,21.0,2022-04-01T08:00:21.676630
50.1030619,8.7662446,21.0,2022-04-01T08:00:23.172344
50.1027972,8.7663229,21.0,2022-04-01T08:00:28.308001
50.1030619,8.7662446,21.0,2022-04-01T08:00:33.443658
50.1031383,8.7662167,21.0,2022-04-01T08:00:34.939372
50.1031452,8.7662145,21.0,2022-04-01T08:00:35.073601
50.1035501,8.7660845,21.0,2022-04-01T08:00:42.953830
50.1039622,8.7659459,21.0,2022-04-01T08:00:50.990059
50.1040218,8.7659283,21.0,2022-04-01T08:00:52.146345
50.1042506,8.7658483,21.0,2022-04-01T08:00:56.616002
50.1042667,8.765975,21.0,2022-04-01T08:00:58.195202
50.1046363,8.7658092,21.0,2022-04-01T08:01:05.526345
50.1044366,8.7647473,21.0,2022-04-01T08:01:19.055831
50.1044011,8.7645583,21.0,2022-04-01T08:01:21.463545
50.1045631,8.7645553,21.0,2022-04-01T08:01:24.551831
50.104807,8.7645558,21.0,2022-04-01T08:01:29.201145
50.1045631,8.7645553,21.0,2022-04-01T08:01:33.850459
50.1044011,8.7645583,21.0,2022-04-01T08:01:36.938745
50.1043422,8.7645561,21.0,2022-04-01T08:01:38.061774
50.1042743,8.7645574,21.0,2022-04-01T08:01:39.356231
50.1040832,8.7645614,21.0,2022-04-01T08:01:42.999260
50.103939,8.7645794,21.0,2022-04-01T08:01:45.756860
50.1038186,8.7646029,21.0,2022-04-01T08:01:48.069774
50.1038107,8.7646044,21.0,2022-04-01T08:01:48.221488
50.1037699,8.7646135,21.0,2022-04-01T08:01:49.007145
50.1036645,8.764646,21.0,2022-04-01T08:01:51.055202
50.1036108,8.7646669,21.0,2022-04-01T08:01:52.110173
50.1035704,8.764685,21.0,2022-04-01T08:01:52.911430
50.1034403,8.7647436,21.0,2022-04-01T08:01:55.492801
50.1033715,8.7647711,21.0,2022-04-01T08:01:56.846744
50.103144,8.7648426,21.0,2022-04-01T08:02:01.270630
50.1027008,8.7649945,21.0,2022-04-01T08:02:09.920573
50.1026747,8.7650035,21.0,2022-04-01T08:02:10.430059
50.1026121,8.7650229,21.0,2022-04-01T08:02:11.646688
50.1026277,8.7651328,21.0,2022-04-01T08:02:13.022917
50.1027972,8.7663229,21.0,2022-04-01T08:02:27.928288
50.1028976,8.7670784,21.0,2022-04-01T08:02:37.361659
50.1029154,8.7672063,21.0,2022-04-01T08:02:38.961773
50.1029306,8.7673206,21.0,2022-04-01T08:02:40.388916
50.1031325,8.7687465,21.0,2022-04-01T08:02:58.242516
50.1042916,8.7683842,21.0,2022-04-01T08:03:20.776973
50.1042929,8.7678651,21.0,2022-04-01T08:03:27.123602
50.1042932,8.767752,21.0,2022-04-01T08:03:28.506345
50.1042941,8.7674071,21.0,2022-04-01T08:03:32.723145
50.10461,8.7674143,21.0,2022-04-01T08:03:38.745431
50.1049521,8.7674221,21.0,2022-04-01T08:03:45.267260
50.1049896,8.7674229,21.0,2022-04-01T08:03:45.982117
50.1050743,8.7674248,21.0,2022-04-01T08:03:47.596803
50.1050415,8.767568,21.0,2022-04-01T08:03:49.455946
50.1049909,8.7677934,21.0,2022-04-01T08:03:52.375546
50.1049471,8.7679655,21.0,2022-04-01T08:03:54.639260
50.1048685,8.7682401,21.0,2022-04-01T08:03:58.315717
50.1048007,8.7684481,21.0,2022-04-01T08:04:01.168288
50.1047416,8.7686129,21.0,2022-04-01T08:04:03.476745
50.1046895,8.7687377,21.0,2022-04-01T08:04:05.297316
50.1046366,8.7688452,21.0,2022-04-01T08:04:06.953830
50.1045785,8.7689522,21.0,2022-04-01T08:04:08.667944
50.104508,8.7690796,21.0,2022-04-01T08:04:10.725087
50.1044783,8.7691333,21.0,2022-04-01T08:04:11.592001
50.1043827,8.7693,21.0,2022-04-01T08:04:14.325944
50.1043485,8.7692037,21.0,2022-04-01T08:04:15.671830
50.1043191,8.7691385,21.0,2022-04-01T08:04:16.646230
50.1043045,8.7690657,21.0,2022-04-01T08:04:17.578801
50.1042957,8.7689266,21.0,2022-04-01T08:04:19.287772
50.1042875,8.7688113,21.0,2022-04-01T08:04:20.706172
50.1042916,8.7683842,21.0,2022-04-01T08:04:25.928572
50.1042929,8.7678651,21.0,2022-04-01T08:04:32.275201
50.1042932,8.767752,21.0,2022-04-01T08:04:33.657944
50.1042941,8.7674071,21.0,2022-04-01T08:04:37.874744
50.1042937,8.7669062,21.0,2022-04-01T08:04:43.998858
50.1042935,8.7666734,21.0,2022-04-01T08:04:46.845087
50.1042918,8.7665048,21.0,2022-04-01T08:04:48.906687
50.1042876,8.7663683,21.0,2022-04-01T08:04:50.577430
50.1042826,8.7662044,21.0,2022-04-01T08:04:52.583659
50.1042756,8.7660597,21.0,2022-04-01T08:04:54.357773
50.1042706,8.7660121,21.0,2022-04-01T08:04:54.947487
50.1042667,8.765975,21.0,2022-04-01T08:04:55.407087
50.1042706,8.7660121,21.0,2022-04-01T08:04:55.866687
50.1042756,8.7660597,21.0,2022-04-01T08:04:56.456401
50.1042826,8.7662044,21.0,2022-04-01T08:04:58.230515
50.1042876,8.7663683,21.0,2022-04-01T08:05:00.236744
50.1042918,8.7665048,21.0,2022-04-01T08:05:01.907487
50.1042935,8.7666734,21.0,2022-04-01T08:05:03.969087
50.1040783,8.7667355,21.0,2022-04-01T08:05:08.140973
50.1037164,8.7668931,21.0,2022-04-01T08:05:15.303602
50.1032566,8.7670746,21.0,2022-04-01T08:05:24.344916
50.1031742,8.7671066,21.0,2022-04-01T08:05:25.963545
50.1029878,8.7671761,21.0,2022-04-01T08:05:29.616859
50.1029154,8.7672063,21.0,2022-04-01T08:05:31.045545
50.1028583,8.7672245,21.0,2022-04-01T08:05:32.156574
50.10183,8.7675576,21.0,2022-04-01T08:05:52.176688
50.1010135,8.767827,21.0,2022-04-01T08:06:08.085602
50.1005305,8.7679715,21.0,2022-04-01T08:06:17.460516
50.1002483,8.7680651,21.0,2022-04-01T08:06:22.960287
50.0999674,8.7681594,21.0,2022-04-01T08:06:28.437601
50.100133,8.7692016,21.0,2022-04-01T08:06:41.566115
50.0994477,8.7694863,21.0,2022-04-01T08:06:55.085144
50.098451,8.7698833,21.0,2022-04-01T08:07:14.694687
50.0982906,8.7687063,21.0,2022-04-01T08:07:29.407887
50.0999674,8.7681594,21.0,2022-04-01T08:08:02.063144
50.0998199,8.7672263,21.0,2022-04-01T08:08:13.813887
50.0996436,8.7660871,21.0,2022-04-01T08:08:28.142916
50.0996276,8.7659836,21.0,2022-04-01T08:08:29.444745
50.0996086,8.7658609,21.0,2022-04-01T08:08:30.988116
